carID,speed,Time,image
1,65.29,11:16:24,overspeeding/cars/09-04-2023-11-16-24-304943.jpeg
0,37.73,11:16:25,overspeeding/cars/09-04-2023-11-16-25-652635.jpeg
2,84.4,11:16:28,overspeeding/cars/09-04-2023-11-16-28-585701.jpeg
3,57.08,11:16:31,overspeeding/cars/09-04-2023-11-16-31-819994.jpeg
4,36.3,11:16:39,overspeeding/cars/09-04-2023-11-16-39-293283.jpeg
5,60.75,11:16:45,overspeeding/cars/09-04-2023-11-16-45-181584.jpeg
6,51.19,11:16:47,overspeeding/cars/09-04-2023-11-16-47-152754.jpeg
10,51.16,11:16:51,overspeeding/cars/09-04-2023-11-16-51-394432.jpeg
9,42.13,11:16:53,overspeeding/cars/09-04-2023-11-16-53-827194.jpeg
11,26.45,11:16:54,overspeeding/cars/09-04-2023-11-16-54-335922.jpeg
14,36.51,11:16:56,overspeeding/cars/09-04-2023-11-16-56-513840.jpeg
13,30.49,11:16:57,overspeeding/cars/09-04-2023-11-16-57-671619.jpeg
12,35.03,11:16:58,overspeeding/cars/09-04-2023-11-16-58-021220.jpeg
17,40.87,11:16:59,overspeeding/cars/09-04-2023-11-16-59-298580.jpeg
22,60.7,11:17:01,overspeeding/cars/09-04-2023-11-17-01-702974.jpeg
21,36.75,11:17:05,overspeeding/cars/09-04-2023-11-17-05-225689.jpeg
19,32.89,11:17:05,overspeeding/cars/09-04-2023-11-17-05-994942.jpeg
20,32.03,11:17:06,overspeeding/cars/09-04-2023-11-17-06-179854.jpeg
26,43.52,11:17:06,overspeeding/cars/09-04-2023-11-17-06-646417.jpeg
25,41.08,11:17:07,overspeeding/cars/09-04-2023-11-17-07-959679.jpeg
30,40.99,11:17:10,overspeeding/cars/09-04-2023-11-17-10-790670.jpeg
28,44.55,11:17:12,overspeeding/cars/09-04-2023-11-17-12-457991.jpeg
29,34.84,11:17:12,overspeeding/cars/09-04-2023-11-17-12-760984.jpeg
33,41.0,11:17:15,overspeeding/cars/09-04-2023-11-17-15-703892.jpeg
34,32.07,11:17:17,overspeeding/cars/09-04-2023-11-17-17-328284.jpeg
37,36.89,11:17:20,overspeeding/cars/09-04-2023-11-17-20-627003.jpeg
40,28.04,11:17:24,overspeeding/cars/09-04-2023-11-17-24-046512.jpeg
44,50.78,11:17:24,overspeeding/cars/09-04-2023-11-17-24-591120.jpeg
38,20.78,11:17:27,overspeeding/cars/09-04-2023-11-17-27-293036.jpeg
43,26.19,11:17:27,overspeeding/cars/09-04-2023-11-17-27-593002.jpeg
41,27.11,11:17:30,overspeeding/cars/09-04-2023-11-17-30-590395.jpeg
45,28.2,11:17:33,overspeeding/cars/09-04-2023-11-17-33-055643.jpeg
42,20.19,11:17:33,overspeeding/cars/09-04-2023-11-17-33-379727.jpeg
53,28.83,11:17:35,overspeeding/cars/09-04-2023-11-17-35-760056.jpeg
52,24.91,11:17:37,overspeeding/cars/09-04-2023-11-17-37-252772.jpeg
59,41.73,11:17:38,overspeeding/cars/09-04-2023-11-17-38-945166.jpeg
51,21.36,11:17:39,overspeeding/cars/09-04-2023-11-17-39-759553.jpeg
56,21.51,11:17:44,overspeeding/cars/09-04-2023-11-17-44-342870.jpeg
57,20.2,11:17:44,overspeeding/cars/09-04-2023-11-17-44-786114.jpeg
58,21.0,11:17:44,overspeeding/cars/09-04-2023-11-17-44-786718.jpeg
62,23.14,11:17:46,overspeeding/cars/09-04-2023-11-17-46-620425.jpeg
63,23.14,11:17:46,overspeeding/cars/09-04-2023-11-17-46-620862.jpeg
60,20.66,11:17:50,overspeeding/cars/09-04-2023-11-17-50-200024.jpeg
67,25.26,11:17:51,overspeeding/cars/09-04-2023-11-17-51-719435.jpeg
68,20.54,11:17:52,overspeeding/cars/09-04-2023-11-17-52-766952.jpeg
66,21.53,11:17:53,overspeeding/cars/09-04-2023-11-17-53-708808.jpeg
65,25.22,11:17:53,overspeeding/cars/09-04-2023-11-17-53-973648.jpeg
72,26.28,11:17:56,overspeeding/cars/09-04-2023-11-17-56-446970.jpeg
73,26.28,11:17:56,overspeeding/cars/09-04-2023-11-17-56-447649.jpeg
70,30.93,11:17:56,overspeeding/cars/09-04-2023-11-17-56-842350.jpeg
76,41.21,11:18:00,overspeeding/cars/09-04-2023-11-18-00-988127.jpeg
75,39.23,11:18:01,overspeeding/cars/09-04-2023-11-18-01-339120.jpeg
80,50.08,11:18:02,overspeeding/cars/09-04-2023-11-18-02-866388.jpeg
79,38.99,11:18:03,overspeeding/cars/09-04-2023-11-18-03-811086.jpeg
85,43.92,11:18:06,overspeeding/cars/09-04-2023-11-18-06-807893.jpeg
84,40.38,11:18:07,overspeeding/cars/09-04-2023-11-18-07-130436.jpeg
83,29.61,11:18:08,overspeeding/cars/09-04-2023-11-18-08-608572.jpeg
89,62.66,11:18:09,overspeeding/cars/09-04-2023-11-18-09-969272.jpeg
